Unnamed: 0,EmployeeNumber,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
10,11,No,35,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,2426.0,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3
11,12,No,29,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,,3,Single,4193.0,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8
12,13,No,31,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,2911.0,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3
13,14,No,34,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,2661.0,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2
14,15,Yes,28,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,,3,Single,,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3
15,16,No,29,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,9980.0,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8
16,17,No,32,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,3298.0,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5
17,18,No,22,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0
18,19,No,53,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,15427.0,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7
19,20,No,38,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,3944.0,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2
20,21,No,24,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,,3,Divorced,4011.0,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3
21,22,Yes,36,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,3407.0,6986,7,Y,No,23,4,2,80,0,10,4,3,5,3,0,3
22,23,No,34,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,11994.0,21293,0,Y,No,11,3,3,80,0,13,4,3,12,6,2,11
23,24,No,21,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,,4,Single,1232.0,19281,1,Y,No,14,3,4,80,0,0,6,3,0,0,0,0
24,25,Yes,34,Travel_Rarely,699,Research & Development,6,1,Medical,2,Male,83,3,1,,1,Single,,17102,2,Y,No,11,3,3,80,0,8,2,3,4,2,1,3
25,26,No,53,Travel_Rarely,1282,Research & Development,5,3,Other,3,Female,58,3,5,Manager,3,Divorced,19094.0,10735,4,Y,No,11,3,4,80,1,26,3,2,14,13,4,8
26,27,Yes,32,Travel_Frequently,1125,Research & Development,16,1,Life Sciences,2,Female,72,1,1,Research Scientist,1,Single,,4681,1,Y,Yes,22,4,2,80,0,10,5,3,10,2,6,7
27,28,No,42,Travel_Rarely,691,Sales,8,4,Marketing,3,Male,48,3,2,Sales Executive,2,Married,6825.0,21173,0,Y,No,11,3,4,80,1,10,2,3,9,7,4,2
28,29,No,44,Travel_Rarely,477,Research & Development,7,4,Medical,1,Female,42,2,3,Healthcare Representative,4,Married,10248.0,2094,3,Y,No,14,3,4,80,1,24,4,3,22,6,5,17
29,30,No,46,Travel_Rarely,705,Sales,2,4,Marketing,2,Female,83,3,5,Manager,1,Single,18947.0,22822,3,Y,No,12,3,4,80,0,22,2,2,2,2,2,1
30,31,No,33,Travel_Rarely,924,Research & Development,2,3,Medical,3,Male,78,3,1,Laboratory Technician,4,Single,,6670,4,Y,No,11,3,4,80,0,7,3,3,1,1,0,0
31,32,No,44,Travel_Rarely,1459,Research & Development,10,4,Other,4,Male,41,3,2,Healthcare Representative,4,Married,6465.0,19121,2,Y,Yes,13,3,4,80,0,9,5,4,4,2,1,3
32,33,No,30,Travel_Rarely,125,Research & Development,9,2,Medical,4,Male,83,2,1,,3,Single,2206.0,16117,1,Y,No,13,3,1,80,0,10,5,3,10,0,1,8
33,34,Yes,39,Travel_Rarely,895,Sales,5,3,Technical Degree,4,Male,56,3,2,Sales Representative,4,Married,2086.0,3335,3,Y,No,14,3,3,80,1,19,6,4,1,0,0,0
34,35,Yes,24,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293.0,3020,2,Y,Yes,16,3,1,80,1,6,2,2,2,0,2,0
35,36,No,43,Travel_Rarely,1273,Research & Development,2,2,Medical,4,Female,72,4,1,Research Scientist,3,Divorced,2645.0,21923,1,Y,No,12,3,4,80,2,6,3,2,5,3,1,4
36,37,Yes,50,Travel_Rarely,869,Sales,3,2,Marketing,1,Male,86,2,1,,3,Married,2683.0,3810,1,Y,Yes,14,3,3,80,0,3,2,3,3,2,0,2
37,38,No,35,Travel_Rarely,890,Sales,2,3,Marketing,4,Female,97,3,1,Sales Representative,4,Married,2014.0,9687,1,Y,No,13,3,1,80,0,2,3,3,2,2,2,2
38,39,No,36,Travel_Rarely,852,Research & Development,5,4,Life Sciences,2,Female,82,2,1,Research Scientist,1,Married,3419.0,13072,9,Y,Yes,14,3,4,80,1,6,3,4,1,1,0,0
39,40,No,33,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,,3193,2,Y,No,19,3,1,80,2,10,3,3,5,3,1,3
40,41,No,35,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,,10910,1,Y,No,12,3,3,80,1,1,3,3,1,0,0,0
41,42,No,27,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341.0,19715,1,Y,No,13,3,4,80,1,1,6,3,1,0,0,0
42,43,Yes,26,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,,10558,1,Y,No,12,3,3,80,0,1,2,2,1,0,0,1
43,44,No,27,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726.0,2975,1,Y,No,15,3,4,80,0,9,0,3,9,8,1,7
44,45,No,30,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,,10781,1,Y,No,23,4,4,80,0,12,2,3,12,8,3,7
45,46,Yes,41,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,,3,Married,19545.0,16280,1,Y,No,12,3,4,80,0,23,0,3,22,15,15,8
46,47,No,34,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568.0,10034,0,Y,No,20,4,3,80,0,10,2,3,9,5,8,7
47,48,No,37,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022.0,10227,4,Y,No,21,4,1,80,0,8,1,3,1,0,0,0
48,49,No,46,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772.0,20445,4,Y,Yes,21,4,3,80,0,14,4,3,9,6,0,8
49,50,No,35,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269.0,4892,1,Y,No,19,3,4,80,0,1,2,3,1,0,0,1
50,51,Yes,48,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381.0,19294,9,Y,Yes,13,3,4,80,0,23,2,3,1,0,0,0
51,52,Yes,28,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441.0,11179,1,Y,Yes,13,3,3,80,0,2,3,2,2,2,2,2
52,53,No,44,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454.0,4009,5,Y,Yes,21,4,3,80,1,9,2,2,4,3,1,3
53,54,No,35,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884.0,8302,2,Y,Yes,13,3,3,80,1,10,3,3,4,0,2,3
54,55,No,26,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157.0,21436,7,Y,Yes,19,3,3,80,1,5,2,2,2,2,0,0
55,56,No,33,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458.0,15146,1,Y,Yes,12,3,3,80,0,15,1,3,15,14,8,12
56,57,No,35,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069.0,11031,1,Y,No,22,4,4,80,1,9,3,2,9,8,1,8
57,58,No,35,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,,1,Married,4014.0,16002,3,Y,Yes,15,3,3,80,1,4,3,3,2,2,2,2
58,59,No,31,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915.0,9528,3,Y,No,22,4,4,80,1,10,3,2,7,7,1,7
59,60,No,37,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993.0,2689,1,Y,No,18,3,3,80,1,7,2,4,7,5,0,7
60,61,No,32,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162.0,10877,1,Y,Yes,22,4,2,80,1,9,3,3,9,8,7,8
61,62,No,38,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,,5456,1,Y,No,11,3,4,80,0,10,2,3,10,3,9,9
62,63,No,50,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740.0,16701,5,Y,Yes,12,3,4,80,1,29,2,2,27,3,13,8
63,64,No,59,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,,1,Single,7637.0,2354,7,Y,No,11,3,4,80,0,28,3,2,21,16,7,9
64,65,No,36,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096.0,8202,1,Y,No,13,3,2,80,3,17,2,3,17,14,12,8
65,66,No,55,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756.0,19730,2,Y,Yes,14,3,3,80,3,21,2,3,5,0,0,2
66,67,No,36,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,,2,Single,6499.0,22656,1,Y,No,13,3,3,80,0,6,3,3,6,5,0,3
67,68,No,45,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724.0,18787,2,Y,No,17,3,3,80,1,25,2,3,1,0,0,0
68,69,No,35,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,,5868,4,Y,No,13,3,4,80,1,5,2,2,3,2,1,2
69,70,Yes,36,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388.0,21777,0,Y,Yes,17,3,1,80,1,2,0,2,1,0,0,0
70,71,No,59,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473.0,24668,7,Y,No,11,3,4,80,0,20,2,2,4,3,1,3
71,72,No,29,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,,2,Married,2703.0,4956,0,Y,No,23,4,4,80,1,6,3,3,5,4,0,4
72,73,No,31,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501.0,18775,1,Y,No,17,3,2,80,0,1,4,3,1,1,1,0
73,74,No,32,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220.0,7346,1,Y,No,17,3,2,80,2,10,3,3,10,4,0,9
74,75,No,36,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038.0,22002,3,Y,No,12,3,2,80,0,5,3,3,1,0,0,0
75,76,No,31,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,,20682,1,Y,No,23,4,4,80,0,11,2,3,11,7,1,8
76,77,No,35,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312.0,23016,0,Y,No,14,3,2,80,0,16,2,3,15,13,2,8
77,78,No,45,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,,15067,4,Y,Yes,14,3,2,80,0,17,3,4,0,0,0,0
78,79,No,37,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,,3,Single,,25258,4,Y,No,13,3,1,80,0,16,3,4,5,2,0,2
79,80,No,46,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021.0,10425,8,Y,Yes,22,4,4,80,1,16,2,3,4,2,0,2
80,81,No,30,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,,4,Married,5126.0,15998,1,Y,Yes,12,3,3,80,2,10,1,2,10,8,3,0
81,82,No,35,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859.0,26278,1,Y,No,18,3,1,80,0,6,3,3,6,4,0,4
82,83,No,55,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239.0,18092,3,Y,No,14,3,4,80,1,24,4,3,1,0,1,0
83,84,No,38,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,15717,7,Y,Yes,12,3,4,80,3,17,3,3,13,11,1,9
84,85,No,34,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325.0,17736,1,Y,No,15,3,3,80,0,5,2,3,5,2,1,3
85,86,No,56,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260.0,21698,4,Y,No,11,3,1,80,0,37,3,2,6,4,0,2
86,87,No,23,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322.0,9518,3,Y,No,13,3,3,80,1,3,3,3,0,0,0,0
87,88,No,51,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075.0,18725,3,Y,No,23,4,2,80,2,10,4,3,4,2,0,3
88,89,No,30,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,,15830,1,Y,No,19,3,1,80,3,11,3,3,11,10,10,8
89,90,Yes,46,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,,4,Single,,13596,1,Y,No,16,3,4,80,0,9,3,3,9,8,4,7
90,91,No,40,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503.0,14115,1,Y,No,22,4,4,80,1,22,3,2,22,3,11,11
91,92,No,51,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441.0,8423,0,Y,Yes,22,4,4,80,0,11,2,1,10,7,1,0
92,93,No,30,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,5209.0,19760,1,Y,Yes,12,3,2,80,3,11,4,2,11,8,2,7
93,94,No,46,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,,3142,2,Y,Yes,13,3,3,80,1,21,5,2,10,9,9,5
94,95,No,32,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,,3,Single,5010.0,24301,1,Y,No,16,3,1,80,0,12,0,3,11,8,5,7
95,96,No,54,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,,3,Married,,24001,9,Y,No,12,3,1,80,1,16,5,1,4,3,0,3
96,97,No,24,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999.0,17519,0,Y,No,21,4,1,80,1,4,2,2,3,2,0,2
97,98,No,28,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,4221.0,8863,1,Y,No,15,3,2,80,0,5,3,4,5,4,0,4
98,99,No,58,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,,24409,0,Y,No,13,3,3,80,0,38,1,2,37,10,1,8
99,100,No,44,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042.0,25043,4,Y,No,12,3,3,80,1,17,3,4,3,2,1,2
100,101,Yes,37,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073.0,23648,4,Y,Yes,22,4,4,80,0,7,3,3,3,2,0,2
101,102,No,32,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956.0,15178,1,Y,No,13,3,4,80,0,1,2,3,1,0,0,0
102,103,Yes,20,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,19783,1,Y,Yes,18,3,2,80,0,1,5,3,1,0,1,0
103,104,No,34,Travel_Rarely,665,Research & Development,6,4,Other,1,Female,41,3,2,,3,Single,4809.0,12482,1,Y,No,14,3,3,80,0,16,3,3,16,13,2,10
104,105,No,37,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,,4,Divorced,5163.0,15850,5,Y,No,14,3,4,80,1,17,2,4,1,0,0,0
105,106,No,59,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,18844.0,21922,9,Y,No,21,4,4,80,1,30,3,3,3,2,2,2
106,107,No,50,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,18172.0,9755,3,Y,Yes,19,3,1,80,0,28,1,2,8,3,0,7
107,108,Yes,25,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,,3,Single,5744.0,26959,1,Y,Yes,11,3,4,80,0,6,1,3,6,4,0,3
108,109,No,25,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,,26897,1,Y,No,11,3,3,80,2,2,2,3,2,2,2,1
109,110,No,22,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871.0,23785,1,Y,No,15,3,3,80,0,1,5,3,0,0,0,0
110,111,No,51,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,7484.0,25796,3,Y,No,20,4,3,80,0,23,1,2,13,12,12,8
111,112,Yes,34,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,6074.0,22887,1,Y,Yes,24,4,4,80,0,9,3,3,9,7,0,6
112,113,No,54,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,17328.0,13871,2,Y,Yes,12,3,3,80,0,23,3,3,5,3,4,4
113,114,No,24,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,,3,Married,2774.0,13257,0,Y,No,12,3,3,80,1,6,2,3,5,3,1,2
114,115,No,34,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,4505.0,15000,6,Y,No,15,3,3,80,1,12,3,3,1,0,0,0
115,116,No,37,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,,14506,2,Y,No,12,3,1,80,0,12,3,3,5,3,1,3
116,117,No,34,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631.0,5615,2,Y,No,12,3,4,80,0,14,6,3,11,10,5,8
117,118,No,36,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,9738.0,22952,0,Y,No,14,3,3,80,1,10,6,3,9,7,2,8
118,119,No,36,Travel_Rarely,922,Research & Development,3,2,Life Sciences,1,Female,39,3,1,,4,Divorced,2835.0,2561,5,Y,No,22,4,1,80,1,7,2,3,1,0,0,0
119,120,No,43,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,16959.0,19494,1,Y,Yes,12,3,4,80,2,25,3,4,25,12,4,12
120,121,No,30,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613.0,22310,1,Y,No,25,4,3,80,3,10,2,2,10,7,0,9
121,122,No,33,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,6146.0,15480,0,Y,No,13,3,1,80,1,8,2,4,7,7,0,7
122,123,Yes,56,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,4963.0,4510,9,Y,Yes,18,3,1,80,3,7,2,3,5,4,4,3
123,124,No,51,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,19537.0,6462,7,Y,No,13,3,3,80,0,23,5,3,20,18,15,15
124,125,Yes,31,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172.0,20739,4,Y,Yes,18,3,2,80,0,12,3,2,7,7,7,7
125,126,No,26,Travel_Rarely,841,Research & Development,6,3,Other,3,Female,46,2,1,,2,Married,2368.0,23300,1,Y,No,19,3,3,80,0,5,3,2,5,4,4,3
126,127,Yes,58,Travel_Rarely,147,Research & Development,23,4,Medical,4,Female,94,3,3,Healthcare Representative,4,Married,10312.0,3465,1,Y,No,12,3,4,80,1,40,3,2,40,10,15,6
127,128,Yes,19,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1675.0,26820,1,Y,Yes,19,3,4,80,0,0,2,2,0,0,0,0
128,129,No,22,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523.0,19299,0,Y,No,14,3,3,80,1,3,2,3,2,1,2,1
129,130,No,49,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,,5549,1,Y,No,14,3,3,80,0,16,2,2,15,11,5,11
130,131,No,43,Travel_Frequently,957,Research & Development,28,3,Medical,2,Female,72,4,1,Research Scientist,3,Single,4739.0,16090,4,Y,No,12,3,4,80,0,18,2,3,3,2,1,2
131,132,No,50,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,9208.0,6645,4,Y,No,11,3,4,80,0,16,3,3,2,2,2,1
132,133,Yes,31,Travel_Rarely,542,Sales,20,3,Life Sciences,2,Female,71,1,2,,3,Married,4559.0,24788,3,Y,Yes,11,3,3,80,1,4,2,3,2,2,2,2
133,134,No,41,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,8189.0,21196,3,Y,Yes,13,3,3,80,1,12,2,3,9,7,0,7
134,135,No,26,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,2942.0,8916,1,Y,No,23,4,4,80,1,8,3,3,8,7,5,7
135,136,No,36,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941.0,2819,6,Y,No,20,4,4,80,2,7,0,3,3,2,0,1
136,137,Yes,51,Travel_Frequently,1150,Research & Development,8,4,Life Sciences,1,Male,53,1,3,Manufacturing Director,4,Single,,25150,2,Y,No,15,3,4,80,0,18,2,3,4,2,0,3
137,138,No,39,Travel_Rarely,1329,Sales,4,4,Life Sciences,4,Female,47,2,2,Sales Executive,3,Married,5902.0,14590,4,Y,No,14,3,3,80,1,17,1,4,15,11,5,9
138,139,No,25,Travel_Rarely,959,Sales,28,3,Life Sciences,1,Male,41,2,2,,3,Married,8639.0,24835,2,Y,No,18,3,4,80,0,6,3,3,2,2,2,2
