EmployeeNumber,Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
1534,No,59.0,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637.0,2354,7,Y,No,11,3,4,80,0,28.0,3,2,21,16,7,9
1535,No,36.0,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096.0,8202,1,Y,No,13,3,2,80,3,17.0,2,3,17,14,12,8
1536,No,55.0,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,,19730,2,Y,Yes,14,3,3,80,3,21.0,2,3,5,0,0,2
1537,No,36.0,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499.0,22656,1,Y,No,13,3,3,80,0,6.0,3,3,6,5,0,3
1538,No,45.0,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724.0,18787,2,Y,No,17,3,3,80,1,25.0,2,3,1,0,0,0
1539,No,,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194.0,5868,4,Y,No,13,3,4,80,1,5.0,2,2,3,2,1,2
1540,Yes,,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,,21777,0,Y,Yes,17,3,1,80,1,2.0,0,2,1,0,0,0
1541,No,59.0,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473.0,24668,7,Y,No,11,3,4,80,0,20.0,2,2,4,3,1,3
1542,No,29.0,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703.0,4956,0,Y,No,23,4,4,80,1,6.0,3,3,5,4,0,4
1543,No,31.0,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501.0,18775,1,Y,No,17,3,2,80,0,1.0,4,3,1,1,1,0
1544,No,32.0,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220.0,7346,1,Y,No,17,3,2,80,2,10.0,3,3,10,4,0,9
1545,No,36.0,Travel_Rarely,132,Research & Development,6,3,,2,Female,55,4,1,Laboratory Technician,4,Married,3038.0,22002,3,Y,No,12,3,2,80,0,5.0,3,3,1,0,0,0
1546,No,31.0,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424.0,20682,1,Y,No,23,4,4,80,0,11.0,2,3,11,7,1,8
1547,No,35.0,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312.0,23016,0,Y,No,14,3,2,80,0,16.0,2,3,15,13,2,8
1548,No,45.0,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,,15067,4,Y,Yes,14,3,2,80,0,17.0,3,4,0,0,0,0
1549,No,37.0,Travel_Rarely,397,Research & Development,7,4,,1,Male,30,3,3,Research Director,3,Single,13664.0,25258,4,Y,No,13,3,1,80,0,16.0,3,4,5,2,0,2
1550,No,46.0,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,,10425,8,Y,Yes,22,4,4,80,1,,2,3,4,2,0,2
1551,No,30.0,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126.0,15998,1,Y,Yes,12,3,3,80,2,,1,2,10,8,3,0
1552,No,35.0,Travel_Rarely,1214,Research & Development,1,3,,2,Male,30,2,1,Research Scientist,3,Single,2859.0,26278,1,Y,No,18,3,1,80,0,6.0,3,3,6,4,0,4
1553,No,55.0,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239.0,18092,3,Y,No,14,3,4,80,1,,4,3,1,0,1,0
1554,No,38.0,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329.0,15717,7,Y,Yes,12,3,4,80,3,,3,3,13,11,1,9
1555,No,34.0,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325.0,17736,1,Y,No,15,3,3,80,0,5.0,2,3,5,2,1,3
1556,No,,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260.0,21698,4,Y,No,11,3,1,80,0,37.0,3,2,6,4,0,2
1557,No,23.0,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322.0,9518,3,Y,No,13,3,3,80,1,3.0,3,3,0,0,0,0
1558,No,51.0,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,,18725,3,Y,No,23,4,2,80,2,10.0,4,3,4,2,0,3
1559,No,,Travel_Rarely,288,Research & Development,2,3,,3,Male,99,2,2,Healthcare Representative,4,Married,4152.0,15830,1,Y,No,19,3,1,80,3,11.0,3,3,11,10,10,8
1560,Yes,46.0,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619.0,13596,1,Y,No,16,3,4,80,0,9.0,3,3,9,8,4,7
1561,No,40.0,Travel_Frequently,530,Research & Development,1,4,Life Sciences,3,Male,78,2,4,Healthcare Representative,2,Married,13503.0,14115,1,Y,No,22,4,4,80,1,22.0,3,2,22,3,11,11
1562,No,51.0,Travel_Rarely,632,Sales,21,4,Marketing,3,Male,71,3,2,Sales Executive,4,Single,5441.0,8423,0,Y,Yes,22,4,4,80,0,,2,1,10,7,1,0
1563,No,30.0,Travel_Rarely,1334,Sales,4,2,Medical,3,Female,63,2,2,Sales Executive,2,Divorced,,19760,1,Y,Yes,12,3,2,80,3,11.0,4,2,11,8,2,7
1564,No,46.0,Travel_Frequently,638,Research & Development,1,3,Medical,3,Male,40,2,3,Healthcare Representative,1,Married,10673.0,3142,2,Y,Yes,13,3,3,80,1,,5,2,10,9,9,5
1565,No,32.0,Travel_Rarely,1093,Sales,6,4,Medical,2,Male,87,3,2,Sales Executive,3,Single,5010.0,24301,1,Y,No,16,3,1,80,0,12.0,0,3,11,8,5,7
1566,No,54.0,Travel_Rarely,1217,Research & Development,2,4,Technical Degree,1,Female,60,3,3,Research Director,3,Married,13549.0,24001,9,Y,No,12,3,1,80,1,16.0,5,1,4,3,0,3
1567,No,24.0,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999.0,17519,0,Y,No,21,4,1,80,1,,2,2,3,2,0,2
1568,No,28.0,Non-Travel,120,Sales,4,3,Medical,2,Male,43,3,2,Sales Executive,3,Married,,8863,1,Y,No,15,3,2,80,0,5.0,3,4,5,4,0,4
1569,No,58.0,Travel_Rarely,682,Sales,10,4,Medical,4,Male,37,3,4,Sales Executive,3,Single,,24409,0,Y,No,13,3,3,80,0,38.0,1,2,37,10,1,8
1570,No,44.0,Non-Travel,489,Research & Development,23,3,Medical,2,Male,67,3,2,Laboratory Technician,2,Married,2042.0,25043,4,Y,No,12,3,3,80,1,17.0,3,4,3,2,1,2
1571,Yes,37.0,Travel_Rarely,807,Human Resources,6,4,Human Resources,3,Male,63,3,1,Human Resources,1,Divorced,2073.0,23648,4,Y,Yes,22,4,4,80,0,7.0,3,3,3,2,0,2
1572,No,32.0,Travel_Rarely,827,Research & Development,1,1,Life Sciences,4,Male,71,3,1,Research Scientist,1,Single,2956.0,15178,1,Y,No,13,3,4,80,0,1.0,2,3,1,0,0,0
1573,Yes,20.0,Travel_Frequently,871,Research & Development,6,3,,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,19783,1,Y,Yes,18,3,2,80,0,1.0,5,3,1,0,1,0
1574,No,34.0,Travel_Rarely,665,Research & Development,6,4,,1,Female,41,3,2,Research Scientist,3,Single,4809.0,12482,1,Y,No,14,3,3,80,0,,3,3,16,13,2,10
1575,No,37.0,Non-Travel,1040,Research & Development,2,2,Life Sciences,3,Male,100,2,2,Healthcare Representative,4,Divorced,5163.0,15850,5,Y,No,14,3,4,80,1,17.0,2,4,1,0,0,0
1576,No,59.0,Non-Travel,1420,Human Resources,2,4,Human Resources,3,Female,32,2,5,Manager,4,Married,,21922,9,Y,No,21,4,4,80,1,30.0,3,3,3,2,2,2
1577,No,50.0,Travel_Frequently,1115,Research & Development,1,3,Life Sciences,1,Female,73,3,5,Research Director,2,Married,18172.0,9755,3,Y,Yes,19,3,1,80,0,28.0,1,2,8,3,0,7
1578,Yes,25.0,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744.0,26959,1,Y,Yes,11,3,4,80,0,6.0,1,3,6,4,0,3
1579,No,25.0,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,,26897,1,Y,No,11,3,3,80,2,2.0,2,3,2,2,2,1
1580,No,,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,,23785,1,Y,No,15,3,3,80,0,,5,3,0,0,0,0
1581,No,51.0,Travel_Frequently,1456,Research & Development,1,4,Medical,1,Female,30,2,3,Healthcare Representative,1,Single,,25796,3,Y,No,20,4,3,80,0,23.0,1,2,13,12,12,8
1582,Yes,34.0,Travel_Frequently,658,Research & Development,7,3,Life Sciences,1,Male,66,1,2,Laboratory Technician,3,Single,6074.0,22887,1,Y,Yes,24,4,4,80,0,9.0,3,3,9,7,0,6
1583,No,54.0,Non-Travel,142,Human Resources,26,3,Human Resources,4,Female,30,4,4,Manager,4,Single,17328.0,13871,2,Y,Yes,12,3,3,80,0,23.0,3,3,5,3,4,4
1584,No,24.0,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,2774.0,13257,0,Y,No,12,3,3,80,1,6.0,2,3,5,3,1,2
1585,No,34.0,Travel_Rarely,1031,Research & Development,6,4,Life Sciences,3,Female,45,2,2,Research Scientist,2,Divorced,,15000,6,Y,No,15,3,3,80,1,12.0,3,3,1,0,0,0
1586,No,37.0,Travel_Rarely,1189,Sales,3,3,Life Sciences,3,Male,87,3,3,Sales Executive,4,Single,,14506,2,Y,No,12,3,1,80,0,12.0,3,3,5,3,1,3
1587,No,,Travel_Rarely,1354,Research & Development,5,3,Medical,3,Female,45,2,3,Manager,1,Single,11631.0,5615,2,Y,No,12,3,4,80,0,14.0,6,3,11,10,5,8
1588,No,36.0,Travel_Frequently,1467,Sales,11,2,Technical Degree,2,Female,92,3,3,Sales Executive,4,Married,,22952,0,Y,No,14,3,3,80,1,10.0,6,3,9,7,2,8
1589,No,36.0,Travel_Rarely,922,Research & Development,3,2,,1,Female,39,3,1,Laboratory Technician,4,Divorced,2835.0,2561,5,Y,No,22,4,1,80,1,7.0,2,3,1,0,0,0
1590,No,43.0,Travel_Frequently,394,Sales,26,2,Life Sciences,3,Male,92,3,4,Manager,4,Married,16959.0,19494,1,Y,Yes,12,3,4,80,2,25.0,3,4,25,12,4,12
1591,No,30.0,Travel_Frequently,1312,Research & Development,23,3,Life Sciences,1,Male,96,1,1,Research Scientist,3,Divorced,2613.0,22310,1,Y,No,25,4,3,80,3,10.0,2,2,10,7,0,9
1592,No,33.0,Non-Travel,750,Sales,22,2,Marketing,3,Male,95,3,2,Sales Executive,2,Married,,15480,0,Y,No,13,3,1,80,1,8.0,2,4,7,7,0,7
1593,Yes,56.0,Travel_Rarely,441,Research & Development,14,4,Life Sciences,2,Female,72,3,1,Research Scientist,2,Married,4963.0,4510,9,Y,Yes,18,3,1,80,3,7.0,2,3,5,4,4,3
1594,No,51.0,Travel_Rarely,684,Research & Development,6,3,Life Sciences,1,Male,51,3,5,Research Director,3,Single,19537.0,6462,7,Y,No,13,3,3,80,0,,5,3,20,18,15,15
1595,Yes,31.0,Travel_Rarely,249,Sales,6,4,Life Sciences,2,Male,76,1,2,Sales Executive,3,Married,6172.0,20739,4,Y,Yes,18,3,2,80,0,12.0,3,2,7,7,7,7
1596,No,26.0,Travel_Rarely,841,Research & Development,6,3,,3,Female,46,2,1,Research Scientist,2,Married,2368.0,23300,1,Y,No,19,3,3,80,0,5.0,3,2,5,4,4,3
1597,Yes,,Travel_Rarely,147,Research & Development,23,4,,4,Female,94,3,3,Healthcare Representative,4,Married,10312.0,3465,1,Y,No,12,3,4,80,1,40.0,3,2,40,10,15,6
1598,Yes,,Travel_Rarely,528,Sales,22,1,Marketing,4,Male,50,3,1,Sales Representative,3,Single,1675.0,26820,1,Y,Yes,19,3,4,80,0,0.0,2,2,0,0,0,0
1599,No,22.0,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523.0,19299,0,Y,No,14,3,3,80,1,,2,3,2,1,2,1
1600,No,,Travel_Rarely,470,Research & Development,20,4,Medical,3,Female,96,3,2,Manufacturing Director,1,Married,6567.0,5549,1,Y,No,14,3,3,80,0,,2,2,15,11,5,11
1601,No,43.0,Travel_Frequently,957,Research & Development,28,3,,2,Female,72,4,1,Research Scientist,3,Single,4739.0,16090,4,Y,No,12,3,4,80,0,18.0,2,3,3,2,1,2
1602,No,50.0,Travel_Frequently,809,Sales,12,3,Marketing,3,Female,77,3,3,Sales Executive,4,Single,9208.0,6645,4,Y,No,11,3,4,80,0,16.0,3,3,2,2,2,1
1603,Yes,31.0,Travel_Rarely,542,Sales,20,3,,2,Female,71,1,2,Sales Executive,3,Married,4559.0,24788,3,Y,Yes,11,3,3,80,1,4.0,2,3,2,2,2,2
1604,No,41.0,Travel_Rarely,802,Sales,9,1,Life Sciences,3,Male,96,3,3,Sales Executive,3,Divorced,,21196,3,Y,Yes,13,3,3,80,1,,2,3,9,7,0,7
1605,No,26.0,Travel_Rarely,1355,Human Resources,25,1,Life Sciences,3,Female,61,3,1,Human Resources,3,Married,2942.0,8916,1,Y,No,23,4,4,80,1,,3,3,8,7,5,7
1606,No,36.0,Travel_Rarely,216,Research & Development,6,2,Medical,2,Male,84,3,2,Manufacturing Director,2,Divorced,4941.0,2819,6,Y,No,20,4,4,80,2,7.0,0,3,3,2,0,1
